TargetID,DB00284,DB06203,DB01076,DB12236,DB01200,DB08907,DB00672,DB00930,DB06292,DB09038,DB11827,DB16165,DB12412,DB01120,DB00222,DB01067,DB01251,DB01016,DB08882,DB00166,DB00678,DB12214,DB00331,DB00491,DB01252,DB00731,DB01132,DB01278,DB00912,DB00412,DB06335,DB13928,DB00641,DB01261,DB12713,DB11950,DB00839,DB01124,DB00273,DB15323,DB04876,DB04878
T59679,0.15149781,0.09292241,0.019682795,0.021945003,0.44867957,0.017409746,0.028875425,0.10902395,0.0148433335,0.018037036,0.01684058,0.06856947,0.053399235,0.02079118,0.023801507,0.115470156,0.020727687,0.04587548,0.08447886,0.02250147,0.03179382,0.01763921,0.045325175,0.17821534,0.011248474,0.013116144,0.021643087,0.029681124,0.031115169,0.038028844,0.04358546,0.013619409,0.003761315,0.056546528,0.021621022,0.24527514,0.02318269,0.04856519,0.022485765,0.09539281,0.07685969,0.11957131
T68782,0.024315296,0.021154307,0.4961083,0.12069669,0.022960173,0.20912275,0.023868801,0.020574452,0.044030312,0.04379574,0.0493743,0.038622573,0.022494482,0.039826013,0.031769134,0.029415883,0.032531474,0.02890211,0.028975483,0.44931793,0.08491909,0.046099897,0.0412802,0.024243668,0.4771119,0.16529988,0.021791073,0.014380754,0.026173567,0.020683287,0.028215112,0.015788307,0.29958576,0.030085469,0.07213996,0.008806853,0.026711907,0.020541027,0.029960796,0.026569612,0.025593724,0.023476891
T79591,0.011663494,0.01385976,0.02860274,0.01767677,0.016023051,0.016060237,0.02346431,0.0040052524,0.01946416,0.016917616,0.024488622,0.018245973,0.016650807,0.01729689,0.020534016,0.011097199,0.017962204,0.022585943,0.017833445,0.023789026,0.015993914,0.017687352,0.021777356,0.0093103545,0.02477132,0.016192341,0.020472841,0.012728412,0.014027758,0.021096997,0.01661183,0.012502575,0.019561736,0.020461341,0.01973729,0.0052409787,0.019619113,0.019089544,0.02082807,0.019317472,0.0118999425,0.009747957
T98933,0.018082762,0.018228479,0.035847295,0.042153537,0.022108268,0.051173482,0.19562173,0.009450222,0.04389058,0.039767727,0.04732819,0.031121928,0.020773722,0.04245116,0.03977817,0.030967893,0.0909832,0.16083315,0.018012758,0.089741185,0.03224445,0.044243347,0.043023307,0.009625749,0.03921464,0.037933793,0.05445708,0.012697503,0.018695982,0.038147572,0.01788915,0.012905453,0.024156291,0.033095233,0.03655714,0.0076064975,0.07111696,0.074883625,0.03615977,0.021755354,0.01514343,0.01709532
T30687,0.024800831,0.0116709005,0.020475017,0.021310775,0.022951154,0.035332173,0.031546447,0.010358505,0.028361142,0.019392364,0.037822165,0.027020881,0.020892592,0.03170841,0.02306961,0.022531707,0.037246954,0.018598586,0.011782208,0.011624771,0.011391003,0.024160575,0.029299421,0.015143238,0.024000563,0.026816156,0.014834761,0.017460227,0.009855256,0.018135937,0.044132043,0.015729472,0.065789014,0.025957707,0.026099892,0.0061597475,0.02560523,0.045561604,0.035681456,0.01669626,0.036385577,0.0173609
T97917,0.043001916,0.03404626,0.33551574,0.04639895,0.035295244,0.054060824,0.33500293,0.017029388,0.061520148,0.04624634,0.055455305,0.10358462,0.027154952,0.2541435,0.33953133,0.3202827,0.10869843,0.37128314,0.024998698,0.037390284,0.058692355,0.07151035,0.22431618,0.04311942,0.04908806,0.1924428,0.07575478,0.082544655,0.031189693,0.03686089,0.016870344,0.07801118,0.021402478,0.030819202,0.05624978,0.011335165,0.26158863,0.35859895,0.035333436,0.025178755,0.0080909915,0.03088617
T16336,0.034251243,0.014755866,0.30107886,0.021693747,0.014130485,0.03033678,0.07317414,0.015382042,0.024290338,0.019883374,0.020596778,0.028247448,0.017201636,0.02143126,0.022382386,0.02303374,0.01730705,0.1346103,0.016726322,0.031057179,0.03084679,0.023730062,0.040882733,0.028598454,0.017014334,0.024220306,0.016144726,0.031710234,0.017633313,0.020373799,0.010779919,0.0323694,0.017483229,0.013607757,0.02501673,0.0076572145,0.026820214,0.03213246,0.015982024,0.01381014,0.0042848103,0.027075829
T03818,0.020110616,0.04617255,0.17214473,0.12594464,0.033566307,0.17232692,0.4278498,0.024623582,0.16453266,0.13175462,0.26245865,0.12550932,0.057115432,0.34744966,0.20369674,0.18100646,0.62356293,0.46497968,0.046972696,0.228542,0.09913714,0.16787265,0.18302144,0.029837128,0.43263602,0.53172314,0.50588596,0.010527211,0.20365861,0.33129984,0.02767923,0.008739143,0.46819776,0.051779494,0.17097437,0.031716812,0.42808586,0.5097408,0.48562565,0.04114163,0.030333646,0.021977404
T28330,0.0602966,0.037498526,0.0832808,0.018015958,0.072701305,0.021120986,0.015530379,0.016035939,0.014860078,0.017092584,0.015784344,0.027934708,0.07211689,0.022888571,0.051791776,0.036977626,0.05473102,0.030317212,0.05677973,0.012243666,0.02963198,0.010250157,0.03449909,0.017647495,0.022206487,0.022676306,0.013347413,0.5215542,0.021807652,0.023321437,0.027068857,0.48990253,0.017607953,0.05391701,0.013181613,0.02972443,0.020224998,0.019152677,0.022602417,0.040270083,0.018576972,0.022506269
T86591,0.030831099,0.042425655,0.23673795,0.16300964,0.040155105,0.2078006,0.38775086,0.044112653,0.19116527,0.13172427,0.22453122,0.0990143,0.047169186,0.19536854,0.1451575,0.1625303,0.29450962,0.2038386,0.037673466,0.5528007,0.12729202,0.16527662,0.07104388,0.03451369,0.6671406,0.7688469,0.37486744,0.010746649,0.14074157,0.15020344,0.034376737,0.012387149,0.27206442,0.04029916,0.16105019,0.025737904,0.41425753,0.46172565,0.43617266,0.036913417,0.03058769,0.027893532
